ID,DATE_TIME,Node_Name,Node_Id,Cumm_Power,Active_Power,Average_Power_Factor,LL_Average_Voltage,LN_Average_Voltage,Average_Current,Frequency,R_Ph_Active_Power,R_Ph_Power_Factor,RY_Voltage,RN_Average_Voltage,R_Ph_Current,Y_Ph_Active_Power,Y_Ph_Power_factor,YB_Voltage,YN_Average_Voltage,Y_Ph_Current,B_Ph_Active_Power,B_Ph_Power_factor,BR_Voltage,BN_Average_Voltage,B_Ph_Current,Average_Apparent_Power,Average_Reactive_Power,R_Ph_Apparent_Power,R_Ph_Reactive_Power,Y_Ph_Apparent_Power,Y_Ph_Reactive_Power,B_Ph_Apparent_Power,B_Ph_Reactive_Power,R_Ph_THD_Current,Y_Ph_THD_Current,B_Ph_THD_Current,N_Ph_THD_Current,G_Ph_THD_Current,L_L_Average_THD_Voltage,R_Ph_THD_Voltage,Y_Ph_THD_Voltage,B_Ph_THD_Voltage,L_N_Average_THD_Voltage,RN_THD_Voltage,YN_THD_Voltage,BN_THD_Voltage
105386,02:10.0,FDV UNIT B               ,3,61075.0625,18.17417526,0.84492898,411.9789734,237.8564606,30.13557434,50.07228088,5.511885166,0.803161025,412.2947083,236.6656799,28.99761581,6.459222317,0.815859973,416.5246277,240.1358643,32.96913147,6.06727457,0.859466016,410.9770508,238.599411,29.53746605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105387,02:10.0,MF DB-1                  ,4,32291.90625,7.171647549,0.791365623,413.4216309,238.6920319,12.65216827,50.08560181,0.087418772,0.110191636,413.4579163,238.1581726,3.33112216,0.54128778,0.536818206,414.7052307,239.5097351,4.209958553,0.355015874,0.641510785,411.4137878,238.5593872,2.325134754,2.355065823,2.063750982,0.793334007,0.788502872,1.008326054,0.788502872,0.553405941,0.42452544,19.05583763,20.01201439,19.05760765,0,0,3.084533691,3.405478477,2.763588905,3.243003368,3.270619392,3.55575633,3.001484394,2.884626627
105383,02:09.0,WSHN FAN DB              ,2,183902.1094,28.82829666,0.969815791,411.373291,237.5079956,41.73132706,50.08399963,9.702281952,0.973651052,413.2148132,238.2929535,41.81762695,9.243958473,0.977085829,413.2689209,239.2854156,39.53748322,10.0475235,0.959389091,411.2293091,238.2003021,44.18497849,29.89842606,7.240336418,9.964845657,2.272415638,9.46074295,2.272415638,10.47283459,2.954241753,6.10514307,5.220010281,5.071097851,16.96198082,0,3.237517834,3.505304098,2.969731331,3.381365538,3.474496603,3.670519114,3.27183342,2.943091631
105384,02:09.0,MF DB-2                  ,5,0,-0.875486493,-0.840446889,413.1308899,238.5240936,1.455851555,50.0899353,-0.272317678,-0.866537869,416.0078125,239.4692078,1.312316656,-0.264848173,-0.909930766,417.4637451,241.1540222,1.20696342,-0.263553321,-0.883949757,413.6392822,240.0093994,1.245396614,0.903477669,-0.416983753,0.31425944,-0.156850457,0.291064084,-0.156850457,0.298154175,-0.139411479,17.89949608,20.33818245,17.54286003,71.07125854,0,3.070002079,3.387068272,2.752935648,3.331182241,3.27058053,3.60387516,2.933461189,2.962618351
105379,02:09.0,WSHN LGT DB              ,1,410594.4375,28.13455009,1.00716269,406.7868347,234.8614349,40.27885818,50.07868958,11.5061264,1.005757093,407.8794861,233.1668549,49.63291931,7.677060604,1.011229396,410.0631409,238.0196686,32.6201973,8.962851524,1.005269051,403.0131226,234.9758759,38.54833221,28.34732819,-3.324064016,11.572752,-1.240019441,7.764248371,-1.240019441,9.010328293,-0.923744559,8.689176559,10.37222862,8.001042366,39.81847,0,3.566065073,3.895433187,3.236696959,3.985594273,3.913711786,4.212803841,3.607639313,3.408564568
105381,02:09.0,MF DB-1                  ,4,32284.51953,1.007114887,0.421506107,414.4331055,239.2761078,3.326846123,50.07838821,0.090366952,0.112234727,415.1992188,239.0414886,3.368287086,0.547111034,0.5357216,415.7586975,240.3239288,4.249514103,0.362632334,0.641669869,412.6086121,239.327713,2.368384123,2.391558886,2.095870018,0.805160344,0.800073147,1.021259904,0.800073147,0.565138459,0.43345046,17.95679855,10.63396072,16.27890778,0,0,3.183376789,3.518404484,2.848348856,3.499170303,3.411753178,3.762713432,3.054963827,3.080186367
105382,02:09.0,MF DB-2                  ,5,0,-0.430870295,-0.496919185,413.1517029,238.5366669,1.21173799,50.07627106,-0.150675803,-0.5756073,412.6614075,237.3855896,1.102713943,-0.127492577,-0.568933785,414.5485535,239.4029694,0.936038375,-0.140496537,-0.550597727,409.9915466,238.10289,1.074313164,0.74102968,-0.611352324,0.261768401,-0.214054897,0.224090368,-0.214054897,0.255170941,-0.213009223,95.28370667,120.869339,27.85136986,72.39389038,0,3.252701283,3.60875988,2.896642685,3.560911894,3.474525928,3.845084429,3.112217903,3.148154259
105380,02:08.0,FDV UNIT B               ,3,61056.80078,18.07806587,0.887821972,413.8162537,238.9171143,28.40691948,50.09180069,5.508105755,0.831212997,413.986969,237.7370605,27.87360573,6.362165928,0.868689001,414.7640076,240.0495758,30.50982857,6.255635738,1.102608919,411.3193665,238.6518707,29.26878166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105377,02:08.0,WSHN FAN DB              ,2,183873.5,28.97180557,0.970341802,406.9095764,234.9368439,42.37304306,50.0933876,9.711267471,0.973990977,409.5708313,236.4528046,42.16736984,9.262545586,0.976883292,411.8862305,237.6623993,39.89580536,10.34471893,0.959671557,409.0327148,236.8131561,45.61291122,30.23176193,7.316496849,9.970592499,2.259203434,9.481732368,2.259203434,10.77943611,3.030353069,6.768242359,5.883583069,5.615109921,15.04619122,0,3.636194706,3.895460844,3.376928329,3.841154337,3.945082903,4.114906311,3.767606258,3.264921427
105378,02:08.0,FDV UNIT A               ,13,59219.8125,17.04809952,0.915610015,410.0072327,236.7205353,26.21922112,50.0844574,5.649216652,0.912809014,409.1316223,236.4022369,26.17923164,5.823491096,0.914218009,411.7752075,237.2812195,26.84542847,5.529158592,0.9199,410.9244385,237.0686035,25.30544281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105372,02:08.0,FDV UNIT A               ,13,59202.79297,17.05882645,0.898482978,419.0583496,241.9449005,26.15869713,50.17290115,5.66217041,0.898424983,422.4439392,243.7191772,25.85899353,5.848642826,0.901476026,421.5621338,243.9433441,26.59572411,5.577858448,0.915138006,420.848999,243.4231567,25.12335014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105373,02:08.0,WSHN LGT DB              ,1,410566.4375,26.16619492,1.007865667,417.0626526,240.7962646,36.53252029,50.17305756,10.78110218,1.00722611,417.1821594,238.5200348,45.52898407,7.629760742,1.01139617,419.866272,243.2823639,31.72327614,7.660595417,1.005040646,411.9710388,240.3782196,32.17036057,26.27669525,-3.237072468,10.85957527,-1.303153038,7.717713356,-1.303153038,7.699405193,-0.772088051,9.43185997,10.94921303,8.802986145,25.8157196,0,3.290883064,3.321977615,3.259788513,3.926060438,3.45881176,3.817102432,3.09463191,3.687747955
105374,02:08.0,WSHN FAN DB              ,2,183844.1719,29.40966225,0.968197405,417.9737244,241.3220673,41.9724884,50.17684174,9.804469109,0.97310704,417.789093,240.314209,41.92605591,9.101389885,0.975742102,419.2442627,242.6166687,38.44607544,10.53017902,0.958713531,414.3755493,240.8378448,45.84494781,30.38674164,7.486411095,10.07542706,2.320908546,9.327659607,2.320908546,10.98365498,3.1234622,5.934010029,4.805647373,5.30727005,14.79732704,0,3.0758636,3.242753506,2.908973694,3.448381662,3.270576,3.561313152,2.973677874,3.104351044
105375,02:08.0,MF DB-2                  ,5,0,-2.220337391,-0.750512898,420.8217773,242.9645996,4.058200359,50.16271591,-0.280553371,-0.68627584,421.1045532,242.5222321,1.685641527,-0.277756751,-0.698380709,422.7583618,244.0200348,1.629847169,-0.251120389,-0.674316108,419.2235413,243.0842133,1.534370303,1.178928494,-0.856998265,0.408805549,-0.297341198,0.39771536,-0.297341198,0.372407526,-0.275001675,19.84931564,19.02121162,17.6762619,74.81413269,0,2.951715946,3.192463875,2.710967779,3.288926125,3.145090818,3.498810053,2.78770113,2.945183516
105376,02:08.0,FDV UNIT B               ,3,61039.07031,18.17826271,0.834474981,420.9372253,243.0288849,29.87286377,50.17991638,5.800535679,0.795207977,421.1994324,241.4749603,30.20751953,6.495086193,0.828043997,423.3249817,244.8546143,32.03490067,5.788268566,0.862161994,418.019928,242.9768219,27.67370415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
